Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1128,Belgium,EBUM40,BX40,6451,,bezav,Zaventem,0,50.9054,4.4579,,C,Y,S,240,2003,73,4.3,0.95,43.9,5.62,,,
1129,Belgium,EBUM41,BX41,6477,,bewid,Wideumont,1,49.9135,5.5044,,C,Y,S,240,2001,590,4.2,1,45,5.64,,,
1356,Belgium,EBUM42,BX42,6410,,bejab,Jabbeke,1,51.1919,3.0641,4,C,Y,D,240,2012,50,4.2,1,45,5.605,,,
1399,Belgium,EBUM43,BX43,6475,,behel,Helchteren,1,51.0702,5.4054,,C,N,D,200,2018,144,4.2,0.948,43,5.588,,,
1218,Croatia,LDZM42,RH42,14256,0-21010-0-38,hrbil,Bilogora,1,45.8835,17.2005,262,C,Y,D,240,2022,280,4.5,0.95,45,5.615,,,
1388,Croatia,LDZM41,,14235,0-21010-0-673,hrzag,Puntijarka,0,45.9078,15.9683,992,S,Y,S,240,,1024,3.2,2.2,38.5,2.8913,,,
1402,Croatia,LDZM44,,14382,0-21010-0-801,hrgra,Gradište,1,45.1592,18.7033,92,C,Y,D,240,2021,110,4.5,0.95,45,5.640,,,
1403,Croatia,LDZM45,,,0-21010-0-803,hrgol,Goli,1,45.0205,14.1223,538,C,Y,D,240,2022,553,4.5,0.95,45,5.625,,,
1404,Croatia,LDZM46,,14000,0-21010-0-802,hrdeb,Debeljak,1,44.0455,15.3765,193,C,Y,D,240,2022,208,4.5,0.95,45,5.630,,,
1405,Croatia,LDZM47,,,0-21010-1-804,hrulj,Uljenje,1,42.8944,17.4783,445,C,Y,D,240,2022,463,4.5,0.95,45.1,5.625,,,
1131,Czechia,OKPR50,CZ50,11718,0-20000-0-11718,czska,Skalky,1,49.5011,16.7885,730,C,Y,D,260,2015,767,4.5,0.95,46,5.645,,,
1132,Czechia,OKPR60,CZ60,11480,0-20000-0-11480,czbrd,Brdy-Praha,1,49.6583,13.8178,860,C,Y,D,260,2015,916,4.5,0.95,46,5.63,,,
1149,Denmark,EKMI41,DN41,6177,,dkste,Stevns,1,55.3262,12.4493,42,C,Y,D,240,2017,53,4.5,1,45,5.625,,,
1150,Denmark,EKMI42,DN42,6096,,dkrom,Römö,1,55.1731,8.552,5,C,Y,D,240,2017,15,4.5,1,45,5.625,,,
1151,Denmark,EKMI43,DN43,6036,,dksin,Sindal,1,57.4893,10.1365,104,C,Y,D,240,2017,109,4.5,1,45,5.625,,,
1290,Denmark,EKMI44,DN44,6194,,dkbor,Bornholm,1,55.1127,14.8875,162,C,Y,D,240,2007,171,4.2,0.94,45,5.625,,,
1341,Denmark,EKMI45,DN45,6103,,dkvir,Virring,1,56.024,10.0246,142,C,Y,D,240,2008,142,4.2,0.895,45,5.625,,,
1325,Estonia,EEMH40,EE40,26038,,eehar,Harku,1,59.3977,24.6021,32.7,C,Y,D,240,2000,49,4.5,0.95,45,5.64,,,
1326,Estonia,EEMH41,EE41,26232,,eesur,Sürgavere,1,58.4823,25.5187,130,C,Y,D,240,2008,157,4.5,0.95,45,5.635,,,
1153,Finland,EFKL42,FI42,2975,,fivan,Vantaa,0,60.2706,24.869,53,C,Y,D,250,1993,82,4.5,0.98,45.4,5.649,,,
1155,Finland,EFKL44,FI44,2954,,fianj,Anjalankoski,1,60.9039,27.1081,101,C,Y,D,250,1993,139,4.5,0.97,46,5.638,,,
1156,Finland,EFKL45,FI45,2918,,fikuo,Kuopio,1,62.8626,27.3815,239,C,Y,D,250,1995,268,4.5,0.94,46.1,5.615,,,
1157,Finland,EFKL46,FI46,2933,,fikor,Korpo,1,60.1285,21.6434,35,C,Y,D,250,1997,61,4.5,0.98,45.8,5.62,,,
1158,Finland,EFKL47,FI47,2870,,fiuta,Utajärvi,1,64.7749,26.3189,85,C,Y,D,250,1997,118,4.5,0.96,46,5.608,,,
1266,Finland,EFKL48,FI48,2840,,filuo,Luosto,1,67.1391,26.8969,514,C,Y,D,250,2000,533,4.5,0.98,45.6,5.618,,,
1311,Finland,EFKL49,FI49,2925,,fivim,Vimpeli,1,63.1048,23.8209,172,C,Y,D,250,2005,200,4.5,0.97,46,5.639,,,
1377,Finland,EFKL50,FI50,2995,,fikes,Kesälahti,1,61.9069,29.7977,141,C,Y,D,250,2014,174,4.5,0.95,45.6,5.625,,,
1378,Finland,EFKL51,FI51,2775,,fipet,Petäjävesi,1,62.3045,25.4401,241,C,Y,D,250,2015,271,4.5,0.95,45.9,5.628,,,
1398,Finland,EFKL52,FI52,,,finur,Nurmes,1,63.8378,29.4489,294,C,Y,D,250,2019,323,4.5,0.99,45.6,5.648,,,
1400,Finland,EFKL53,FI53,,,fivih,Vihti,1,60.5562,24.4956,148,C,Y,D,250,2021,181,4.5,0.94,45.7,5.605,,,
1406,Finland,EFKL54,FI54,,,fikan,Kankaanpää,1,61.8108,22.502,142,C,Y,D,250,2022,175,4.5,0.92,45.8,5.645,,,
1169,France,LFPW51,FR51,7145,,frtra,Trappes,1,48.7746,2.0083,166.5,C,Y,D,256,2004,190.2,3.7,1.1,43.8,5.625,,,
1159,France,LFPW40,FR40,7005,,frabb,Abbeville,1,50.136,1.8347,71.1,C,Y,D,256,2009,83.6,3.7,1.1,43.8,5.612,,,
1160,France,LFPW41,FR41,7510,,frbor,Bordeaux,1,44.8315,-0.6919,46,C,Y,D,256,2014,70,3.7,1.1,43.8,5.62,,,
1161,France,LFPW42,FR42,7255,,frbou,Bourges,1,47.0586,2.3595,162.2,C,Y,D,256,1987,173.5,3.7,1.1,44,5.64,,,
1163,France,LFPW44,FR44,7436,,frgre,Grèzes,1,45.1044,1.3697,350.6,C,Y,D,256,2011,360.3,3.7,1.1,43.8,5.64,,,
